AccXangle 	 AccYangle
13.873356 	 -71.524417
18.193998 	 -63.642340
17.303327 	 -51.381657
13.645223 	 24.837802
15.185370 	 24.795402
14.013298 	 32.047812
12.403138 	 11.374954
13.619902 	 7.700972
8.760939 	 6.483909
10.403414 	 21.005582
10.994827 	 20.397872
11.942608 	 10.260943
6.838876 	 -0.293300
0.396701 	 -38.553190
6.478666 	 11.807480
1.969485 	 -7.674037
2.964043 	 2.185237
2.902256 	 -28.745503
3.449991 	 -14.510549
5.414245 	 -22.987963
3.364391 	 -38.239727
5.005027 	 -15.819784
0.404243 	 8.010811
2.088005 	 -22.797902
5.217333 	 -18.449816
2.368780 	 31.639983
5.245762 	 22.454962
6.378788 	 -1.344308
5.971599 	 -30.029231
6.016918 	 -42.370558
7.098850 	 -31.150127
7.210121 	 -31.941115
3.693420 	 -2.186462
1.914265 	 -11.432320
0.658239 	 -22.703229
0.889499 	 2.554644
2.399155 	 -24.501228
3.322701 	 -20.646967
1.726996 	 -19.253925
2.526748 	 -18.882068
5.923253 	 -27.322557
4.071544 	 17.055339
8.488919 	 1.086343
4.284532 	 -24.380901
3.288823 	 -15.913546
2.341040 	 -27.829562
0.328512 	 -12.662222
6.330242 	 -7.717390
6.126765 	 -17.169292
5.036881 	 -25.347831
6.664633 	 34.980810
1.878053 	 -16.733535
-5.517426 	 -39.008536
-12.279405 	 -50.228836
-10.812515 	 -30.585186
-14.966183 	 18.278485
-5.251403 	 64.022681
4.151389 	 70.372871
13.427313 	 61.373906
20.261589 	 20.237998
20.719038 	 -24.919934
21.156975 	 -40.514913
20.357518 	 -55.619147
13.052721 	 -21.748940
9.281648 	 24.933313
9.898435 	 -12.998566
7.801392 	 35.078747
8.074949 	 -32.435454
9.741493 	 9.716037
4.637508 	 4.350817
7.196256 	 -22.361686
10.116764 	 39.789956
5.707737 	 35.437301
7.941274 	 53.587821
5.255175 	 19.752081
1.432232 	 -6.229195
-0.409027 	 -26.230167
3.255937 	 -20.993680
1.220280 	 -13.518418
9.145087 	 -51.391572
12.810473 	 -71.710817
16.435741 	 -66.340344
15.506552 	 -55.791492
7.773047 	 28.499992
4.947745 	 -33.236852
2.772287 	 -56.840378
6.661558 	 -62.385353
6.479823 	 -6.714247
7.593236 	 -62.540719
-1.775500 	 -65.666727
5.193271 	 -46.300545
4.406966 	 -25.099473
3.013045 	 -4.535576
-2.716592 	 -33.891436
-1.724966 	 12.436519
1.252508 	 -32.722126
0.102564 	 -15.672243
-5.055997 	 4.848196
1.229868 	 -25.036050
-0.462223 	 -41.727918
-5.531779 	 -14.505923
-1.124511 	 -9.418811
-3.186917 	 -41.920262
-0.404170 	 -15.149949
3.316300 	 -12.820082
6.272520 	 -12.124837
2.828735 	 -20.856475
-3.611985 	 -17.145511
3.655737 	 -8.251551
3.481256 	 -14.443385
4.204458 	 -18.644790
7.222907 	 -18.378164
3.963764 	 -20.235105
4.385832 	 -17.623685
3.552028 	 -17.309106
3.483054 	 -17.130650
3.608270 	 -15.561736
3.576978 	 -17.620575
3.484528 	 -17.603377
3.465734 	 -18.314953
0.322006 	 -17.891062
3.801932 	 -20.422854
3.279438 	 -18.064473
3.319213 	 -16.927877
3.541939 	 -15.531066
3.217978 	 -15.531066
3.413223 	 -19.835165
3.637134 	 -17.492513
3.478211 	 -18.752858
3.731505 	 -19.295673
3.305499 	 -18.046986
3.497504 	 -19.165510
3.206876 	 -17.555991
3.444221 	 -17.023275
3.752639 	 -16.548367
3.885397 	 -15.953000
3.493880 	 -18.235025
3.824599 	 -17.206120
0.532230 	 -15.941236
4.007116 	 -21.546664
3.567753 	 -18.772281
10.264801 	 -10.681454
8.659456 	 -23.121724
6.270672 	 -46.486726
4.015494 	 -53.458534
7.910415 	 -50.681716
10.754234 	 -40.245265
5.680586 	 -54.054449
6.842669 	 -70.391995
4.288980 	 -61.270629
14.702967 	 -65.887274
12.591585 	 -56.401246
7.392147 	 6.959565
8.441056 	 30.752274
15.270013 	 57.778351
10.063649 	 59.466859
7.683166 	 37.713240
6.389536 	 -3.024490
2.328925 	 -9.895539
8.405377 	 -17.232605
4.945349 	 -31.206955
3.604027 	 14.340640
6.890230 	 -5.323950
7.290549 	 23.705808
11.589923 	 30.398770
11.902303 	 13.029045
7.625716 	 -20.401630
2.301421 	 -36.992869
2.457890 	 1.811160
-1.714471 	 -35.741682
4.609908 	 -24.100794
6.485308 	 -22.181387
8.087922 	 -14.992172
9.037873 	 -19.191631
